Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
9,661325;Right Hand Presence Physics;(0.57, 1.18, 5.94);(333.71, 338.10, 356.69)
9,661325;Left Hand Presence Physics;(-0.15, 0.71, 5.73);(52.97, 302.44, 321.04)
9,661325;Right Hand Presence Physics;(0.57, 1.18, 5.94);(333.71, 338.10, 356.69)
9,661325;Left Hand Presence Physics;(-0.15, 0.71, 5.73);(52.97, 302.44, 321.04)
9,661325;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
9,661325;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
9,661325;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
10,16265;Right Hand Presence Physics;(0.57, 1.17, 5.94);(334.34, 337.57, 356.72)
10,16265;Left Hand Presence Physics;(-0.11, 0.66, 5.73);(61.62, 313.63, 324.66)
10,16265;Right Hand Presence Physics;(0.57, 1.17, 5.94);(334.34, 337.57, 356.72)
10,16265;Left Hand Presence Physics;(-0.11, 0.66, 5.73);(61.62, 313.63, 324.66)
10,16265;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
10,16265;Metal Cube;(-0.09, 0.56, 5.65);(0.00, 354.68, 339.33);False
10,16265;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
10,66392;Right Hand Presence Physics;(0.57, 1.17, 5.94);(334.39, 337.43, 356.72)
10,66392;Left Hand Presence Physics;(-0.09, 0.68, 5.70);(65.07, 294.68, 298.81)
10,66392;Right Hand Presence Physics;(0.57, 1.17, 5.94);(334.39, 337.43, 356.72)
10,66392;Left Hand Presence Physics;(-0.09, 0.68, 5.70);(65.07, 294.68, 298.81)
10,66392;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
10,66392;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);False
10,66392;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
11,16494;Right Hand Presence Physics;(0.57, 1.18, 5.94);(334.12, 337.77, 356.57)
11,16494;Left Hand Presence Physics;(-0.08, 0.69, 5.65);(61.58, 263.17, 258.83)
11,16494;Right Hand Presence Physics;(0.57, 1.18, 5.94);(334.12, 337.77, 356.57)
11,16494;Left Hand Presence Physics;(-0.08, 0.69, 5.65);(61.58, 263.17, 258.83)
11,16494;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
11,16494;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);False
11,16494;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
11,66633;Right Hand Presence Physics;(0.57, 1.18, 5.94);(334.13, 337.37, 356.45)
