Timestamp;Name;Position;Rotation;Grabbed
36,67581;Left Hand Presence Physics;(0.05, 0.60, 5.54);(335.31, 21.82, 3.74)
36,67581;Right Hand Presence Physics;(0.19, 0.59, 5.50);(330.81, 23.85, 357.16)
36,67581;Left Hand Presence Physics;(0.05, 0.60, 5.54);(335.31, 21.82, 3.74)
36,67581;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
36,67581;Metal Cube;(0.15, 0.55, 5.58);(0.00, 125.99, 0.00);False
37,18335;Right Hand Presence Physics;(0.24, 0.60, 5.49);(346.54, 58.53, 299.23)
37,18335;Left Hand Presence Physics;(0.09, 0.60, 5.56);(335.70, 33.75, 12.83)
37,18335;Right Hand Presence Physics;(0.24, 0.60, 5.49);(346.54, 58.53, 299.23)
37,18335;Left Hand Presence Physics;(0.09, 0.60, 5.56);(335.70, 33.75, 12.83)
37,18335;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
37,18335;Metal Cube;(0.16, 0.57, 5.57);(356.96, 116.73, 0.38);False
37,68759;Right Hand Presence Physics;(0.17, 0.59, 5.51);(332.03, 13.84, 349.45)
37,68759;Left Hand Presence Physics;(0.09, 0.61, 5.54);(339.48, 36.99, 13.16)
37,68759;Right Hand Presence Physics;(0.17, 0.59, 5.51);(332.03, 13.84, 349.45)
37,68759;Left Hand Presence Physics;(0.09, 0.61, 5.54);(339.48, 36.99, 13.16)
37,68759;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
37,68759;Metal Cube;(-0.09, 1.44, 5.92);(312.01, 94.82, 354.63);False
38,19425;Right Hand Presence Physics;(0.15, 0.59, 5.51);(332.13, 10.20, 349.14)
38,19425;Left Hand Presence Physics;(0.06, 0.60, 5.54);(332.60, 31.35, 23.49)
38,19425;Right Hand Presence Physics;(0.15, 0.59, 5.51);(332.13, 10.20, 349.14)
38,19425;Left Hand Presence Physics;(0.06, 0.60, 5.54);(332.60, 31.35, 23.49)
38,19425;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
38,19425;Metal Cube;(-0.39, 0.15, 6.34);(357.62, 119.94, 354.80);False
38,72112;Right Hand Presence Physics;(0.10, 0.59, 5.51);(344.00, 17.06, 305.87)
38,72112;Left Hand Presence Physics;(0.00, 0.59, 5.51);(341.82, 16.63, 68.03)
38,72112;Right Hand Presence Physics;(0.10, 0.59, 5.51);(344.00, 17.06, 305.87)
38,72112;Left Hand Presence Physics;(0.00, 0.59, 5.51);(341.82, 16.63, 68.03)
38,72112;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
38,72112;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
39,22788;Right Hand Presence Physics;(0.04, 0.60, 5.47);(334.25, 3.81, 305.06)
39,22788;Left Hand Presence Physics;(-0.09, 0.59, 5.43);(326.98, 31.87, 36.99)
39,22788;Right Hand Presence Physics;(0.04, 0.60, 5.47);(334.25, 3.81, 305.06)
39,22788;Left Hand Presence Physics;(-0.09, 0.59, 5.43);(326.98, 31.87, 36.99)
39,22788;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
39,22788;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
39,72984;Right Hand Presence Physics;(-0.03, 0.60, 5.45);(325.36, 345.24, 309.91)
39,72984;Left Hand Presence Physics;(-0.24, 0.59, 5.41);(316.69, 354.11, 16.38)
39,72984;Right Hand Presence Physics;(-0.03, 0.60, 5.45);(325.36, 345.24, 309.91)
39,72984;Left Hand Presence Physics;(-0.24, 0.59, 5.41);(316.69, 354.11, 16.38)
39,72984;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
39,72984;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
40,23452;Right Hand Presence Physics;(-0.06, 0.59, 5.52);(350.79, 7.69, 292.22)
40,23452;Left Hand Presence Physics;(-0.28, 0.60, 5.52);(330.24, 349.16, 15.32)
40,23452;Right Hand Presence Physics;(-0.06, 0.59, 5.52);(350.79, 7.69, 292.22)
40,23452;Left Hand Presence Physics;(-0.28, 0.60, 5.52);(330.24, 349.16, 15.32)
40,23452;Rubber Cube;(-0.21, 0.55, 5.60);(0.00, 0.00, 0.00);False
40,23452;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
40,73707;Right Hand Presence Physics;(-0.08, 0.59, 5.51);(345.90, 5.06, 303.80)
40,73707;Left Hand Presence Physics;(-0.28, 0.61, 5.52);(332.65, 345.87, 27.81)
40,73707;Right Hand Presence Physics;(-0.08, 0.59, 5.51);(345.90, 5.06, 303.80)
40,73707;Left Hand Presence Physics;(-0.28, 0.61, 5.52);(332.65, 345.87, 27.81)
40,73707;Rubber Cube;(-0.20, 0.55, 5.60);(0.00, 11.46, 0.00);False
40,73707;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
41,23977;Right Hand Presence Physics;(-0.08, 0.59, 5.51);(345.90, 5.77, 303.80)
41,23977;Left Hand Presence Physics;(-0.27, 0.61, 5.54);(334.21, 331.22, 34.35)
41,23977;Right Hand Presence Physics;(-0.08, 0.59, 5.51);(345.90, 5.77, 303.80)
41,23977;Left Hand Presence Physics;(-0.27, 0.61, 5.54);(334.21, 331.22, 34.35)
41,23977;Rubber Cube;(-0.17, 0.58, 5.60);(1.15, 23.70, 333.33);False
41,23977;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
41,74228;Right Hand Presence Physics;(-0.07, 0.59, 5.51);(345.91, 7.27, 303.80)
41,74228;Left Hand Presence Physics;(-0.25, 0.58, 5.54);(328.08, 356.57, 10.09)
41,74228;Right Hand Presence Physics;(-0.07, 0.59, 5.51);(345.91, 7.27, 303.80)
41,74228;Left Hand Presence Physics;(-0.25, 0.58, 5.54);(328.08, 356.57, 10.09)
41,74228;Rubber Cube;(-0.18, 0.58, 5.55);(355.96, 31.62, 336.05);True
41,74228;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
42,24486;Right Hand Presence Physics;(-0.05, 0.57, 5.42);(315.52, 321.36, 306.28)
42,24486;Left Hand Presence Physics;(-0.25, 0.62, 5.53);(323.96, 355.77, 13.52)
42,24486;Right Hand Presence Physics;(-0.05, 0.57, 5.42);(315.52, 321.36, 306.28)
42,24486;Left Hand Presence Physics;(-0.25, 0.62, 5.53);(323.96, 355.77, 13.52)
42,24486;Rubber Cube;(-0.18, 0.62, 5.54);(350.96, 32.77, 335.94);True
42,24486;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
42,74537;Right Hand Presence Physics;(-0.01, 0.51, 5.38);(327.43, 267.50, 11.05)
42,74537;Left Hand Presence Physics;(-0.18, 0.60, 5.53);(326.16, 4.65, 9.26)
42,74537;Right Hand Presence Physics;(-0.01, 0.51, 5.38);(327.43, 267.50, 11.05)
42,74537;Left Hand Presence Physics;(-0.18, 0.60, 5.53);(326.16, 4.65, 9.26)
42,74537;Rubber Cube;(-0.11, 0.59, 5.53);(354.72, 39.29, 334.35);True
42,74537;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
43,24712;Right Hand Presence Physics;(0.01, 0.51, 5.38);(325.92, 267.45, 11.13)
43,24712;Left Hand Presence Physics;(-0.14, 0.58, 5.54);(328.43, 8.30, 5.69)
43,24712;Right Hand Presence Physics;(0.01, 0.51, 5.38);(325.92, 267.45, 11.13)
43,24712;Left Hand Presence Physics;(-0.14, 0.58, 5.54);(328.43, 8.30, 5.69)
43,24712;Rubber Cube;(-0.08, 0.55, 5.58);(0.00, 39.92, 0.41);False
43,24712;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
43,74905;Right Hand Presence Physics;(0.04, 0.60, 5.48);(338.87, 21.60, 297.30)
43,74905;Left Hand Presence Physics;(-0.15, 0.60, 5.53);(332.01, 1.45, 23.33)
43,74905;Right Hand Presence Physics;(0.04, 0.60, 5.48);(338.87, 21.60, 297.30)
43,74905;Left Hand Presence Physics;(-0.15, 0.60, 5.53);(332.01, 1.45, 23.33)
43,74905;Rubber Cube;(-0.06, 0.55, 5.57);(359.94, 40.44, 1.70);False
43,74905;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
44,25031;Right Hand Presence Physics;(0.07, 0.59, 5.49);(341.04, 37.04, 308.15)
44,25031;Left Hand Presence Physics;(-0.15, 0.60, 5.53);(331.22, 5.40, 14.77)
44,25031;Right Hand Presence Physics;(0.07, 0.59, 5.49);(341.04, 37.04, 308.15)
44,25031;Left Hand Presence Physics;(-0.15, 0.60, 5.53);(331.22, 5.40, 14.77)
44,25031;Rubber Cube;(-0.06, 0.55, 5.57);(0.00, 40.47, 0.00);False
44,25031;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
44,75267;Right Hand Presence Physics;(0.04, 0.60, 5.52);(337.15, 11.12, 337.99)
44,75267;Left Hand Presence Physics;(-0.14, 0.59, 5.53);(330.99, 11.13, 0.44)
44,75267;Right Hand Presence Physics;(0.04, 0.60, 5.52);(337.15, 11.12, 337.99)
44,75267;Left Hand Presence Physics;(-0.14, 0.59, 5.53);(330.99, 11.13, 0.44)
44,75267;Rubber Cube;(-0.07, 0.55, 5.58);(0.00, 37.23, 0.00);False
44,75267;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
45,25349;Right Hand Presence Physics;(0.05, 0.58, 5.53);(335.92, 336.88, 58.60)
45,25349;Left Hand Presence Physics;(-0.14, 0.59, 5.53);(330.69, 13.17, 358.68)
45,25349;Right Hand Presence Physics;(0.05, 0.58, 5.53);(335.92, 336.88, 58.60)
45,25349;Left Hand Presence Physics;(-0.14, 0.59, 5.53);(330.69, 13.17, 358.68)
45,25349;Rubber Cube;(-0.07, 0.55, 5.58);(0.00, 37.23, 0.00);False
45,25349;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
45,75471;Right Hand Presence Physics;(0.02, 0.58, 5.53);(336.01, 340.09, 34.72)
45,75471;Left Hand Presence Physics;(-0.13, 0.59, 5.53);(331.24, 14.90, 357.94)
45,75471;Right Hand Presence Physics;(0.02, 0.58, 5.53);(336.01, 340.09, 34.72)
45,75471;Left Hand Presence Physics;(-0.13, 0.59, 5.53);(331.24, 14.90, 357.94)
45,75471;Rubber Cube;(-0.07, 0.55, 5.58);(0.00, 37.23, 0.00);False
45,75471;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
46,25566;Right Hand Presence Physics;(-0.01, 0.59, 5.54);(335.37, 356.76, 351.78)
46,25566;Left Hand Presence Physics;(-0.11, 0.60, 5.52);(329.56, 3.10, 14.29)
46,25566;Right Hand Presence Physics;(-0.01, 0.59, 5.54);(335.37, 356.76, 351.78)
46,25566;Left Hand Presence Physics;(-0.11, 0.60, 5.52);(329.56, 3.10, 14.29)
46,25566;Rubber Cube;(-0.06, 0.56, 5.56);(359.21, 28.21, 16.59);False
46,25566;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
46,757;Right Hand Presence Physics;(-0.01, 0.62, 5.53);(327.68, 19.40, 330.39)
46,757;Left Hand Presence Physics;(-0.09, 0.63, 5.52);(324.75, 359.37, 8.03)
46,757;Right Hand Presence Physics;(-0.01, 0.62, 5.53);(327.68, 19.40, 330.39)
46,757;Left Hand Presence Physics;(-0.09, 0.63, 5.52);(324.75, 359.37, 8.03)
46,757;Rubber Cube;(-0.06, 0.60, 5.55);(16.38, 36.64, 32.23);False
46,757;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
47,2585;Right Hand Presence Physics;(0.00, 0.65, 5.52);(329.83, 26.64, 327.77)
47,2585;Left Hand Presence Physics;(-0.09, 0.67, 5.52);(323.10, 3.25, 6.60)
47,2585;Right Hand Presence Physics;(0.00, 0.65, 5.52);(329.83, 26.64, 327.77)
47,2585;Left Hand Presence Physics;(-0.09, 0.67, 5.52);(323.10, 3.25, 6.60)
47,2585;Rubber Cube;(-0.05, 0.63, 5.55);(14.47, 38.34, 29.18);False
47,2585;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
47,75976;Right Hand Presence Physics;(0.00, 0.69, 5.51);(320.65, 21.90, 330.97)
47,75976;Left Hand Presence Physics;(-0.09, 0.71, 5.51);(323.09, 1.59, 11.99)
47,75976;Right Hand Presence Physics;(0.00, 0.69, 5.51);(320.65, 21.90, 330.97)
47,75976;Left Hand Presence Physics;(-0.09, 0.71, 5.51);(323.09, 1.59, 11.99)
47,75976;Rubber Cube;(-0.05, 0.68, 5.54);(8.91, 37.72, 30.08);False
47,75976;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
48,26128;Right Hand Presence Physics;(0.00, 0.74, 5.50);(314.41, 354.98, 2.74)
48,26128;Left Hand Presence Physics;(-0.09, 0.75, 5.51);(327.07, 10.66, 11.57)
48,26128;Right Hand Presence Physics;(0.00, 0.74, 5.50);(314.41, 354.98, 2.74)
48,26128;Left Hand Presence Physics;(-0.09, 0.75, 5.51);(327.07, 10.66, 11.57)
48,26128;Rubber Cube;(-0.04, 0.70, 5.52);(14.51, 39.37, 29.30);False
48,26128;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
48,76226;Right Hand Presence Physics;(0.01, 0.73, 5.49);(321.67, 344.93, 18.55)
48,76226;Left Hand Presence Physics;(-0.08, 0.74, 5.51);(323.23, 23.81, 18.28)
48,76226;Right Hand Presence Physics;(0.01, 0.73, 5.49);(321.67, 344.93, 18.55)
48,76226;Left Hand Presence Physics;(-0.08, 0.74, 5.51);(323.23, 23.81, 18.28)
48,76226;Rubber Cube;(0.05, 0.16, 5.30);(349.09, 94.16, 274.58);False
48,76226;Metal Cube;(-0.49, 0.05, 6.45);(270.00, 136.95, 0.00);False
49,26336;Right Hand Presence Physics;(0.03, 0.66, 5.47);(322.70, 345.56, 13.59)
49,26336;Left Hand Presence Physics;(-0.10, 0.67, 5.50);(325.21, 23.90, 17.32)
49,26336;Right Hand Presence Physics;(0.03, 0.66, 5.47);(322.70, 345.56, 13.59)
49,26336;Left Hand Presence Physics;(-0.10, 0.67, 5.50);(325.21, 23.90, 17.32)
49,26336;Rubber Cube;(0.07, 0.05, 5.29);(0.00, 95.47, 270.00);False
