Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
16,10911;Left Hand Presence Physics;(0.23, 0.89, 5.19);(1.08, 317.97, 28.86)
16,10911;Right Hand Presence Physics;(0.84, 1.09, 5.24);(331.02, 349.08, 335.74)
16,10911;Left Hand Presence Physics;(0.23, 0.89, 5.19);(1.08, 317.97, 28.86)
16,10911;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
16,10911;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
16,56878;Right Hand Presence Physics;(0.53, 1.09, 4.70);(328.94, 350.29, 336.32)
16,56878;Left Hand Presence Physics;(-0.01, 0.98, 4.65);(343.89, 326.08, 23.78)
16,56878;Right Hand Presence Physics;(0.53, 1.09, 4.70);(328.94, 350.29, 336.32)
16,56878;Left Hand Presence Physics;(-0.01, 0.98, 4.65);(343.89, 326.08, 23.78)
16,56878;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
16,56878;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
16,61036;Right Hand Presence Physics;(0.53, 1.09, 4.71);(329.43, 350.64, 336.12)
16,61036;Left Hand Presence Physics;(0.00, 0.99, 4.65);(342.92, 326.77, 23.03)
16,61036;Right Hand Presence Physics;(0.53, 1.09, 4.71);(329.43, 350.64, 336.12)
16,61036;Left Hand Presence Physics;(0.00, 0.99, 4.65);(342.92, 326.77, 23.03)
16,61036;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
16,61036;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
17,07019;Right Hand Presence Physics;(0.53, 1.09, 4.71);(331.29, 350.11, 336.30)
17,07019;Left Hand Presence Physics;(0.02, 1.00, 4.65);(342.43, 329.25, 21.82)
17,07019;Right Hand Presence Physics;(0.53, 1.09, 4.71);(331.29, 350.11, 336.30)
17,07019;Left Hand Presence Physics;(0.02, 1.00, 4.65);(342.43, 329.25, 21.82)
17,07019;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
17,07019;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
