Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
11,65306;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
12,15431;Right Hand Presence Physics;(0.36, 0.79, 5.68);(322.58, 343.07, 337.98)
12,15431;Left Hand Presence Physics;(-0.22, 0.64, 5.61);(352.11, 330.41, 2.45)
12,15431;Right Hand Presence Physics;(0.36, 0.79, 5.68);(322.58, 343.07, 337.98)
12,15431;Left Hand Presence Physics;(-0.22, 0.64, 5.61);(352.11, 330.41, 2.45)
12,15431;Metal Cube;(-0.06, 0.55, 5.54);(0.00, 5.12, 0.00);False
12,15431;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
12,15431;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
12,65551;Right Hand Presence Physics;(0.04, 1.39, 5.99);(322.60, 342.91, 337.95)
12,65551;Left Hand Presence Physics;(-0.53, 1.24, 5.92);(351.78, 331.11, 2.20)
12,65551;Right Hand Presence Physics;(0.04, 1.39, 5.99);(322.60, 342.91, 337.95)
12,65551;Left Hand Presence Physics;(-0.53, 1.24, 5.92);(351.78, 331.11, 2.20)
12,65551;Metal Cube;(-0.06, 0.55, 5.54);(0.00, 5.12, 0.00);False
12,65551;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
12,65551;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
13,15688;Right Hand Presence Physics;(0.05, 1.39, 5.99);(322.24, 343.26, 337.59)
13,15688;Left Hand Presence Physics;(-0.51, 1.26, 5.91);(348.08, 331.92, 4.17)
13,15688;Right Hand Presence Physics;(0.05, 1.39, 5.99);(322.24, 343.26, 337.59)
13,15688;Left Hand Presence Physics;(-0.51, 1.26, 5.91);(348.08, 331.92, 4.17)
13,15688;Metal Cube;(-0.06, 0.55, 5.54);(0.00, 5.12, 0.00);False
13,15688;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
13,15688;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
13,658;Right Hand Presence Physics;(0.27, 1.07, 5.68);(322.13, 343.55, 337.34)
13,658;Left Hand Presence Physics;(-0.29, 0.92, 5.61);(348.56, 331.75, 4.23)
13,658;Right Hand Presence Physics;(0.27, 1.07, 5.68);(322.13, 343.55, 337.34)
13,658;Left Hand Presence Physics;(-0.29, 0.92, 5.61);(348.56, 331.75, 4.23)
13,658;Metal Cube;(-0.06, 0.55, 5.54);(0.00, 5.12, 0.00);False
13,658;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
13,658;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
14,1595;Right Hand Presence Physics;(0.29, 0.80, 5.65);(322.06, 343.58, 337.21)
14,1595;Left Hand Presence Physics;(-0.26, 0.65, 5.57);(346.76, 331.72, 4.21)
14,1595;Right Hand Presence Physics;(0.29, 0.80, 5.65);(322.06, 343.58, 337.21)
14,1595;Left Hand Presence Physics;(-0.26, 0.65, 5.57);(346.76, 331.72, 4.21)
14,1595;Metal Cube;(-0.06, 0.55, 5.54);(0.00, 5.12, 0.00);False
14,1595;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
14,1595;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
14,6603;Right Hand Presence Physics;(0.30, 0.80, 5.65);(322.13, 344.03, 336.86)
14,6603;Left Hand Presence Physics;(-0.26, 0.65, 5.57);(347.72, 331.69, 3.71)
14,6603;Right Hand Presence Physics;(0.30, 0.80, 5.65);(322.13, 344.03, 336.86)
14,6603;Left Hand Presence Physics;(-0.26, 0.65, 5.57);(347.72, 331.69, 3.71)
14,6603;Metal Cube;(-0.06, 0.55, 5.54);(0.00, 5.12, 0.00);False
14,6603;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
14,6603;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
15,16195;Right Hand Presence Physics;(0.29, 0.80, 5.66);(321.92, 343.63, 336.85)
15,16195;Left Hand Presence Physics;(-0.26, 0.64, 5.58);(347.95, 332.11, 3.14)
15,16195;Right Hand Presence Physics;(0.29, 0.80, 5.66);(321.92, 343.63, 336.85)
15,16195;Left Hand Presence Physics;(-0.26, 0.64, 5.58);(347.95, 332.11, 3.14)
15,16195;Metal Cube;(-0.06, 0.55, 5.54);(0.00, 5.12, 0.00);False
15,16195;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
15,16195;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
15,66294;Right Hand Presence Physics;(0.21, 1.27, 5.78);(321.84, 343.52, 336.88)
15,66294;Left Hand Presence Physics;(-0.35, 1.11, 5.71);(348.02, 332.30, 2.77)
15,66294;Right Hand Presence Physics;(0.21, 1.27, 5.78);(321.84, 343.52, 336.88)
15,66294;Left Hand Presence Physics;(-0.35, 1.11, 5.71);(348.02, 332.30, 2.77)
15,66294;Metal Cube;(-0.06, 0.55, 5.54);(0.00, 5.12, 0.00);False
15,66294;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
15,66294;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
16,164;Right Hand Presence Physics;(0.17, 1.36, 5.83);(321.73, 343.37, 337.00)
16,164;Left Hand Presence Physics;(-0.39, 1.20, 5.76);(347.55, 332.36, 3.15)
16,164;Right Hand Presence Physics;(0.17, 1.36, 5.83);(321.73, 343.37, 337.00)
16,164;Left Hand Presence Physics;(-0.39, 1.20, 5.76);(347.55, 332.36, 3.15)
16,164;Metal Cube;(-0.06, 0.55, 5.54);(0.00, 5.12, 0.00);False
16,164;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
16,164;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
16,66536;Right Hand Presence Physics;(0.31, 1.13, 5.58);(321.70, 343.06, 337.20)
16,66536;Left Hand Presence Physics;(-0.25, 0.98, 5.51);(347.88, 331.95, 3.83)
16,66536;Right Hand Presence Physics;(0.31, 1.13, 5.58);(321.70, 343.06, 337.20)
16,66536;Left Hand Presence Physics;(-0.25, 0.98, 5.51);(347.88, 331.95, 3.83)
16,66536;Metal Cube;(-0.06, 0.55, 5.54);(0.00, 5.12, 0.00);False
16,66536;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
16,66536;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
17,16646;Right Hand Presence Physics;(0.37, 0.80, 5.48);(321.72, 343.00, 337.28)
17,16646;Left Hand Presence Physics;(-0.16, 0.64, 5.44);(353.84, 339.93, 0.20)
17,16646;Right Hand Presence Physics;(0.37, 0.80, 5.48);(321.72, 343.00, 337.28)
17,16646;Left Hand Presence Physics;(-0.16, 0.64, 5.44);(353.84, 339.93, 0.20)
17,16646;Metal Cube;(-0.06, 0.55, 5.54);(0.00, 5.12, 0.00);False
17,16646;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
17,16646;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
28,67208;Metal Cube;(-0.06, 0.55, 5.54);(0.00, 5.12, 0.00);True
17,66756;Right Hand Presence Physics;(0.37, 0.80, 5.48);(321.43, 343.96, 336.67)
17,66756;Left Hand Presence Physics;(-0.12, 0.64, 5.49);(0.24, 352.70, 17.24)
17,66756;Right Hand Presence Physics;(0.37, 0.80, 5.48);(321.43, 343.96, 336.67)
17,66756;Left Hand Presence Physics;(-0.12, 0.64, 5.49);(0.24, 352.70, 17.24)
17,66756;Metal Cube;(-0.05, 0.62, 5.52);(352.11, 13.23, 19.92);True
17,66756;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
17,66756;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
18,16864;Right Hand Presence Physics;(0.37, 0.80, 5.48);(321.27, 343.84, 336.80)
18,16864;Left Hand Presence Physics;(-0.16, 0.63, 5.50);(0.18, 332.26, 344.89)
18,16864;Right Hand Presence Physics;(0.37, 0.80, 5.48);(321.27, 343.84, 336.80)
18,16864;Left Hand Presence Physics;(-0.16, 0.63, 5.50);(0.18, 332.26, 344.89)
18,16864;Metal Cube;(-0.13, 0.57, 5.55);(3.51, 354.19, 350.31);True
18,16864;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
18,16864;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
18,66989;Right Hand Presence Physics;(0.38, 0.80, 5.48);(321.38, 344.03, 336.64)
18,66989;Left Hand Presence Physics;(-0.17, 0.61, 5.49);(5.65, 337.76, 357.68)
18,66989;Right Hand Presence Physics;(0.38, 0.80, 5.48);(321.38, 344.03, 336.64)
18,66989;Left Hand Presence Physics;(-0.17, 0.61, 5.49);(5.65, 337.76, 357.68)
18,66989;Metal Cube;(-0.11, 0.56, 5.54);(3.90, 359.96, 4.14);True
18,66989;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
18,66989;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
