Timestamp;Name;Position;Rotation;Grabbed
16.02113;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
16.52208;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
16.52208;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
16.52208;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
16.52208;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
16.52208;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
16.52208;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
17.0221;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
17.0221;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
17.0221;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
17.0221;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
17.0221;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
17.0221;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
17.52252;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
17.52252;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
17.52252;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
17.52252;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
17.52252;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
17.52252;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
18.02343;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
18.02343;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
18.02343;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
18.02343;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
18.02343;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
18.02343;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
18.52355;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
18.52355;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
18.52355;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
18.52355;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
18.52355;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
18.52355;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
19.02358;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
19.02358;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
19.02358;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
19.02358;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
