Timestamp;Type;Name;Position;Rotation
31,77261;2;Cube;(14.76, 6.87, 8.27);(25.45, 130.87, 325.49)
32,27433;1;Main Camera;(0.43, 0.70, 0.27);(350.06, 56.74, 356.23)
32,27433;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
32,27433;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
32,27433;1;Right Controller;(0.80, 0.48, 0.48);(342.56, 72.80, 341.00)
32,27433;1;Left Controller;(0.25, 0.35, 0.57);(355.83, 351.06, 354.05)
32,27433;2;Cube;(28.08, 8.80, 11.73);(23.66, 269.79, 30.11)
32,77533;1;Main Camera;(0.43, 0.70, 0.27);(351.33, 52.98, 356.72)
32,77533;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
32,77533;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
32,77533;1;Right Controller;(0.82, 0.47, 0.47);(347.88, 76.09, 339.31)
32,77533;1;Left Controller;(0.26, 0.35, 0.57);(357.74, 352.03, 356.14)
32,77533;2;Cube;(41.39, 8.27, 15.18);(335.17, 16.37, 358.81)
33,27636;1;Main Camera;(0.44, 0.68, 0.31);(0.97, 48.93, 0.53)
33,27636;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
33,27636;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
33,27636;1;Right Controller;(0.77, 0.45, 0.51);(348.01, 61.96, 343.18)
33,27636;1;Left Controller;(0.30, 0.37, 0.55);(352.51, 1.12, 350.20)
33,27636;2;Cube;(54.70, 5.28, 18.64);(19.67, 121.23, 323.54)
33,77824;1;Main Camera;(0.45, 0.67, 0.31);(2.64, 50.99, 0.51)
33,77824;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
33,77824;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
33,77824;1;Right Controller;(0.84, 0.44, 0.46);(355.49, 81.53, 337.96)
33,77824;1;Left Controller;(0.29, 0.36, 0.56);(353.27, 0.53, 352.74)
33,77824;2;Cube;(68.03, -0.19, 22.10);(33.22, 250.96, 24.24)
34,29059;1;Main Camera;(0.44, 0.67, 0.32);(3.31, 50.78, 1.14)
34,29059;1;Right Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
34,29059;1;Left Hand;(0.19, 0.00, 1.96);(0.00, 0.00, 0.00)
34,29059;1;Right Controller;(0.84, 0.43, 0.46);(351.79, 78.82, 343.57)
34,29059;1;Left Controller;(0.29, 0.36, 0.56);(352.81, 359.65, 352.10)
34,29059;2;Cube;(81.62, -8.32, 25.63);(339.11, 349.36, 13.72)
34,7917;1;Main Camera;(7.38, 0.68, 2.38);(0.53, 72.63, 1.02)
34,7917;1;Right Hand;(7.78, 0.00, 3.99);(0.00, 22.43, 0.00)
34,7917;1;Left Hand;(7.78, 0.00, 3.99);(0.00, 22.43, 0.00)
34,7917;1;Right Controller;(7.81, 0.46, 2.36);(343.82, 95.03, 349.65)
34,7917;1;Left Controller;(7.34, 0.36, 2.65);(350.98, 22.87, 350.73)
34,7917;2;Cube;(94.94, -18.76, 29.09);(0.87, 93.20, 324.06)
35,29379;1;Main Camera;(14.75, 0.68, 1.51);(0.65, 93.47, 0.32)
35,29379;1;Right Hand;(15.69, 0.00, 2.89);(0.00, 42.92, 0.00)
35,29379;1;Left Hand;(15.69, 0.00, 2.89);(0.00, 42.92, 0.00)
35,29379;1;Right Controller;(15.14, 0.46, 1.35);(342.29, 116.01, 351.00)
35,29379;1;Left Controller;(14.81, 0.36, 1.79);(350.80, 43.38, 351.06)
35,29379;2;Cube;(108.27, -31.69, 32.56);(43.71, 199.17, 357.65)
35,79576;1;Main Camera;(27.62, 0.68, -5.92);(0.98, 113.36, 0.14)
35,79576;1;Right Hand;(29.01, 0.00, -5.00);(0.00, 64.69, 0.00)
35,79576;1;Left Hand;(29.01, 0.00, -5.00);(0.00, 64.69, 0.00)
35,79576;1;Right Controller;(27.93, 0.46, -6.21);(342.50, 134.98, 350.48)
35,79576;1;Left Controller;(27.78, 0.36, -5.70);(350.56, 66.05, 350.74)
35,79576;2;Cube;(121.62, -47.11, 36.02);(1.91, 302.79, 31.07)
36,2966;1;Main Camera;(27.63, 0.68, -5.88);(1.15, 89.22, 0.02)
36,2966;1;Right Hand;(29.01, 0.00, -5.00);(0.00, 64.69, 0.00)
36,2966;1;Left Hand;(29.01, 0.00, -5.00);(0.00, 64.69, 0.00)
36,2966;1;Right Controller;(27.94, 0.43, -6.04);(343.20, 105.66, 355.88)
36,2966;1;Left Controller;(27.77, 0.37, -5.69);(349.21, 64.65, 352.77)
36,2966;2;Cube;(134.92, -64.94, 39.48);(336.87, 38.23, 346.47)
36,7984;1;Main Camera;(27.63, 0.65, -5.80);(11.42, 58.60, 2.36)
36,7984;1;Right Hand;(29.01, 0.00, -5.00);(0.00, 64.69, 0.00)
36,7984;1;Left Hand;(29.01, 0.00, -5.00);(0.00, 64.69, 0.00)
36,7984;1;Right Controller;(27.85, 0.40, -5.77);(346.89, 61.57, 356.73)
