Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
14,15201;Right Hand Presence Physics;(-1.13, 0.75, 3.90);(328.17, 6.48, 340.09)
14,15201;Left Hand Presence Physics;(-1.69, 0.69, 3.93);(349.65, 330.77, 304.61)
14,15201;Right Hand Presence Physics;(-1.13, 0.75, 3.90);(328.17, 6.48, 340.09)
14,15201;Left Hand Presence Physics;(-1.69, 0.69, 3.93);(349.65, 330.77, 304.61)
14,15201;Metal Cube;(-0.33, 0.05, 6.46);(90.00, 149.04, 0.00);False;
14,38876;Right Hand Presence Physics;(-1.13, 0.76, 3.90);(328.04, 6.41, 340.22)
14,38876;Left Hand Presence Physics;(-1.75, 0.61, 3.97);(348.17, 325.47, 293.52)
14,38876;Right Hand Presence Physics;(-1.13, 0.76, 3.90);(328.04, 6.41, 340.22)
14,38876;Left Hand Presence Physics;(-1.75, 0.61, 3.97);(348.17, 325.47, 293.52)
14,88905;Right Hand Presence Physics;(-0.11, 0.76, 0.57);(325.92, 331.34, 328.71)
14,88905;Left Hand Presence Physics;(-0.32, 0.76, 0.35);(328.48, 328.44, 5.31)
14,88905;Right Hand Presence Physics;(-0.11, 0.76, 0.57);(325.92, 331.34, 328.71)
14,88905;Left Hand Presence Physics;(-0.32, 0.76, 0.35);(328.48, 328.44, 5.31)
14,88905;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
15,38949;Right Hand Presence Physics;(-0.25, 0.77, 1.04);(326.00, 330.33, 331.93)
15,38949;Left Hand Presence Physics;(-0.46, 0.76, 0.84);(325.11, 330.02, 1.10)
15,38949;Right Hand Presence Physics;(-0.25, 0.77, 1.04);(326.00, 330.33, 331.93)
15,38949;Left Hand Presence Physics;(-0.46, 0.76, 0.84);(325.11, 330.02, 1.10)
15,38949;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
15,89149;Right Hand Presence Physics;(-0.31, 0.77, 2.27);(326.42, 330.02, 332.02)
15,89149;Left Hand Presence Physics;(-0.52, 0.76, 2.07);(325.32, 331.46, 357.96)
15,89149;Right Hand Presence Physics;(-0.31, 0.77, 2.27);(326.42, 330.02, 332.02)
15,89149;Left Hand Presence Physics;(-0.52, 0.76, 2.07);(325.32, 331.46, 357.96)
15,89149;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
16,39313;Right Hand Presence Physics;(0.10, 0.76, 3.46);(326.64, 330.44, 331.86)
16,39313;Left Hand Presence Physics;(-0.11, 0.76, 3.25);(325.81, 331.72, 357.50)
16,39313;Right Hand Presence Physics;(0.10, 0.76, 3.46);(326.64, 330.44, 331.86)
16,39313;Left Hand Presence Physics;(-0.11, 0.76, 3.25);(325.81, 331.72, 357.50)
16,39313;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
16,89418;Right Hand Presence Physics;(0.40, 0.77, 4.67);(326.61, 331.03, 331.42)
16,89418;Left Hand Presence Physics;(0.17, 0.76, 4.47);(327.14, 328.60, 359.03)
16,89418;Right Hand Presence Physics;(0.40, 0.77, 4.67);(326.61, 331.03, 331.42)
16,89418;Left Hand Presence Physics;(0.17, 0.76, 4.47);(327.14, 328.60, 359.03)
16,89418;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
17,39534;Right Hand Presence Physics;(0.32, 0.77, 5.73);(326.55, 330.75, 331.46)
17,39534;Left Hand Presence Physics;(-0.01, 0.75, 5.48);(330.69, 311.25, 354.39)
17,39534;Right Hand Presence Physics;(0.32, 0.77, 5.73);(326.55, 330.75, 331.46)
17,39534;Left Hand Presence Physics;(-0.01, 0.75, 5.48);(330.69, 311.25, 354.39)
17,39534;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
17,89679;Right Hand Presence Physics;(0.31, 0.77, 5.72);(326.67, 329.37, 332.29)
17,89679;Left Hand Presence Physics;(-0.08, 0.65, 5.60);(357.63, 318.30, 331.64)
17,89679;Right Hand Presence Physics;(0.31, 0.77, 5.72);(326.67, 329.37, 332.29)
17,89679;Left Hand Presence Physics;(-0.08, 0.65, 5.60);(357.63, 318.30, 331.64)
17,89679;Sponge Cube;(-0.12, 0.55, 5.65);(270.02, 0.00, 0.00);False;
18,39818;Right Hand Presence Physics;(0.30, 0.76, 5.71);(327.79, 324.25, 335.82)
18,39818;Left Hand Presence Physics;(0.00, 0.71, 5.56);(352.52, 330.57, 6.98)
18,39818;Right Hand Presence Physics;(0.30, 0.76, 5.71);(327.79, 324.25, 335.82)
18,39818;Left Hand Presence Physics;(0.00, 0.71, 5.56);(352.52, 330.57, 6.98)
18,39818;Sponge Cube;(-0.01, 0.68, 5.64);(303.77, 231.93, 141.85);False;
18,89926;Right Hand Presence Physics;(0.24, 0.73, 5.65);(333.54, 295.31, 6.25)
18,89926;Left Hand Presence Physics;(0.15, 0.72, 5.56);(338.37, 343.57, 334.72)
18,89926;Right Hand Presence Physics;(0.24, 0.73, 5.65);(333.54, 295.31, 6.25)
18,89926;Left Hand Presence Physics;(0.15, 0.72, 5.56);(338.37, 343.57, 334.72)
18,89926;Sponge Cube;(0.13, 0.70, 5.64);(290.21, 167.29, 217.42);False;
19,40071;Right Hand Presence Physics;(0.24, 0.73, 5.61);(329.39, 311.02, 359.60)
19,40071;Left Hand Presence Physics;(0.16, 0.72, 5.56);(338.06, 346.00, 331.78)
19,40071;Right Hand Presence Physics;(0.24, 0.73, 5.61);(329.39, 311.02, 359.60)
19,40071;Left Hand Presence Physics;(0.16, 0.72, 5.56);(338.06, 346.00, 331.78)
19,40071;Sponge Cube;(0.14, 0.70, 5.63);(291.72, 152.93, 232.76);False;
19,90187;Right Hand Presence Physics;(0.27, 0.75, 5.64);(328.39, 293.38, 8.28)
19,90187;Left Hand Presence Physics;(0.16, 0.72, 5.56);(337.78, 346.14, 331.27)
19,90187;Right Hand Presence Physics;(0.27, 0.75, 5.64);(328.39, 293.38, 8.28)
19,90187;Left Hand Presence Physics;(0.16, 0.72, 5.56);(337.78, 346.14, 331.27)
19,90187;Sponge Cube;(0.14, 0.70, 5.63);(290.88, 159.97, 226.59);False;
20,40305;Right Hand Presence Physics;(0.26, 0.75, 5.63);(329.76, 292.43, 6.72)
20,40305;Left Hand Presence Physics;(0.18, 0.72, 5.55);(338.33, 351.31, 332.20)
20,40305;Right Hand Presence Physics;(0.26, 0.75, 5.63);(329.76, 292.43, 6.72)
20,40305;Left Hand Presence Physics;(0.18, 0.72, 5.55);(338.33, 351.31, 332.20)
20,40305;Sponge Cube;(0.17, 0.70, 5.63);(289.96, 166.91, 225.34);False;
20,90413;Right Hand Presence Physics;(0.27, 0.75, 5.62);(330.32, 284.22, 11.59)
20,90413;Left Hand Presence Physics;(0.18, 0.73, 5.55);(337.97, 351.53, 332.06)
