Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
9,74002;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
9,74002;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
9,74002;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
10,24193;Right Hand Presence Physics;(0.33, 1.13, 3.65);(342.85, 357.92, 344.17)
10,24193;Left Hand Presence Physics;(0.07, 1.15, 3.76);(329.33, 13.76, 16.14)
10,24193;Right Hand Presence Physics;(0.33, 1.13, 3.65);(342.85, 357.92, 344.17)
10,24193;Left Hand Presence Physics;(0.07, 1.15, 3.76);(329.33, 13.76, 16.14)
10,24193;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
10,24193;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
10,24193;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
10,74339;Right Hand Presence Physics;(0.65, 1.14, 4.83);(341.70, 0.30, 346.29)
10,74339;Left Hand Presence Physics;(0.29, 1.16, 4.97);(330.15, 6.61, 9.65)
10,74339;Right Hand Presence Physics;(0.65, 1.14, 4.83);(341.70, 0.30, 346.29)
10,74339;Left Hand Presence Physics;(0.29, 1.16, 4.97);(330.15, 6.61, 9.65)
10,74339;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
10,74339;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
10,74339;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
11,24442;Right Hand Presence Physics;(0.50, 1.15, 5.53);(340.52, 3.27, 346.26)
11,24442;Left Hand Presence Physics;(-0.10, 0.82, 5.74);(9.87, 341.78, 354.79)
11,24442;Right Hand Presence Physics;(0.50, 1.15, 5.53);(340.52, 3.27, 346.26)
11,24442;Left Hand Presence Physics;(-0.10, 0.82, 5.74);(9.87, 341.78, 354.79)
11,24442;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
11,24442;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
11,24442;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
11,74575;Right Hand Presence Physics;(0.51, 1.14, 5.53);(340.69, 3.60, 346.24)
11,74575;Left Hand Presence Physics;(-0.17, 0.64, 5.68);(46.19, 332.29, 335.64)
11,74575;Right Hand Presence Physics;(0.51, 1.14, 5.53);(340.69, 3.60, 346.24)
11,74575;Left Hand Presence Physics;(-0.17, 0.64, 5.68);(46.19, 332.29, 335.64)
11,74575;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
11,74575;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
11,74575;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
12,24721;Right Hand Presence Physics;(0.51, 1.14, 5.53);(340.80, 4.25, 345.92)
12,24721;Left Hand Presence Physics;(-0.15, 0.63, 5.67);(55.42, 346.88, 1.76)
12,24721;Right Hand Presence Physics;(0.51, 1.14, 5.53);(340.80, 4.25, 345.92)
12,24721;Left Hand Presence Physics;(-0.15, 0.63, 5.67);(55.42, 346.88, 1.76)
12,24721;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
12,24721;Metal Cube;(-0.11, 0.55, 5.65);(0.07, 351.75, 359.93);False
12,24721;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
12,74879;Right Hand Presence Physics;(0.50, 1.14, 5.53);(340.74, 3.41, 346.25)
12,74879;Left Hand Presence Physics;(-0.10, 0.62, 5.66);(23.69, 282.05, 299.07)
12,74879;Right Hand Presence Physics;(0.50, 1.14, 5.53);(340.74, 3.41, 346.25)
12,74879;Left Hand Presence Physics;(-0.10, 0.62, 5.66);(23.69, 282.05, 299.07)
12,74879;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
12,74879;Metal Cube;(-0.10, 0.55, 5.65);(0.00, 344.05, 359.98);False
12,74879;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
13,2498;Right Hand Presence Physics;(0.51, 1.14, 5.53);(340.79, 3.94, 345.78)
13,2498;Left Hand Presence Physics;(-0.13, 0.65, 5.70);(58.77, 325.39, 337.82)
13,2498;Right Hand Presence Physics;(0.51, 1.14, 5.53);(340.79, 3.94, 345.78)
13,2498;Left Hand Presence Physics;(-0.13, 0.65, 5.70);(58.77, 325.39, 337.82)
13,2498;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
13,2498;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 339.89, 0.00);False
13,2498;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
13,75099;Right Hand Presence Physics;(0.52, 1.15, 5.53);(340.29, 4.95, 344.99)
13,75099;Left Hand Presence Physics;(-0.16, 0.63, 5.68);(49.71, 338.77, 353.23)
13,75099;Right Hand Presence Physics;(0.52, 1.15, 5.53);(340.29, 4.95, 344.99)
13,75099;Left Hand Presence Physics;(-0.16, 0.63, 5.68);(49.71, 338.77, 353.23)
13,75099;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
13,75099;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 339.82, 0.00);False
13,75099;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
25,15897;Metal Cube;(-0.09, 0.55, 5.66);(0.42, 338.00, 356.18);True
14,25254;Right Hand Presence Physics;(0.52, 1.15, 5.53);(340.17, 4.96, 344.97)
14,25254;Left Hand Presence Physics;(-0.14, 0.63, 5.68);(52.90, 343.64, 353.24)
14,25254;Right Hand Presence Physics;(0.52, 1.15, 5.53);(340.17, 4.96, 344.97)
14,25254;Left Hand Presence Physics;(-0.14, 0.63, 5.68);(52.90, 343.64, 353.24)
14,25254;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
14,25254;Metal Cube;(-0.09, 0.58, 5.66);(0.39, 337.46, 357.13);True
14,25254;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
14,75287;Right Hand Presence Physics;(0.52, 1.15, 5.53);(340.03, 4.87, 345.08)
14,75287;Left Hand Presence Physics;(-0.12, 0.62, 5.68);(48.08, 340.41, 334.42)
14,75287;Right Hand Presence Physics;(0.52, 1.15, 5.53);(340.03, 4.87, 345.08)
14,75287;Left Hand Presence Physics;(-0.12, 0.62, 5.68);(48.08, 340.41, 334.42)
14,75287;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
14,75287;Metal Cube;(-0.09, 0.56, 5.65);(357.34, 347.77, 348.26);True
14,75287;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
15,2542;Right Hand Presence Physics;(0.52, 1.15, 5.53);(339.94, 5.24, 344.94)
15,2542;Left Hand Presence Physics;(-0.13, 0.63, 5.69);(43.86, 344.86, 350.52)
15,2542;Right Hand Presence Physics;(0.52, 1.15, 5.53);(339.94, 5.24, 344.94)
15,2542;Left Hand Presence Physics;(-0.13, 0.63, 5.69);(43.86, 344.86, 350.52)
15,2542;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
15,2542;Metal Cube;(-0.08, 0.57, 5.67);(352.18, 341.55, 355.31);True
15,2542;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
